SMILES,CHEMBL_ID,IC50(nM)
CC1CN(CCN1)c2cc3N(C=C(C(=O)O)C(=O)c3c(C)c2F)C4CC4,583,50000
Cc1c(O)cccc1C(=O)N[C@@H](CSc2ccccc2)[C@H](O)CN3C[C@H]4CCCC[C@H]4C[C@H]3C(=O)NC(C)(C)C,584,12589.25
Nc1nc(N)c2nc(c(N)nc2n1)c3ccccc3,585,Not active
CCc1ccc(CCOc2ccc(CC3SC(=O)NC3=O)cc2)nc1,595,Not active
CCC(=O)N(C1CCN(CCc2ccccc2)CC1)c3ccccc3,596,1819.7
Cc1ccc(cc1)N(CC2=NCCN2)c3cccc(O)c3,597,20076.3
CN1C(=C(O)c2ccccc2S1(=O)=O)C(=O)Nc3ncc(C)s3,599,Not active
COc1cc(ccc1Cc2cn(C)c3ccc(NC(=O)OC4CCCC4)cc23)C(=O)NS(=O)(=O)c5ccccc5C,603,Not active
CCOC(=O)C1(CCN(C)CC1)c2ccccc2,607,323.59
CC(C)(C)c1cc(SC(C)(C)Sc2cc(c(O)c(c2)C(C)(C)C)C(C)(C)C)cc(c1O)C(C)(C)C,608,Not active
COc1cc2nc(nc(N)c2cc1OC)N3CCN(CC3)C(=O)C4CCCO4,611,17782.79
Clc1cccc(c1)N2CCN(CCCN3N=C4C=CC=CN4C3=O)CC2,621,Not active
CCc1cccc2c3CCOC(CC)(CC(=O)O)c3[nH]c12,622,Not active
c1ccc2[nH]c(nc2c1)c3cscn3,625,Not active
CN1C(=O)N(CCCCC(=O)C)C(=O)c2c1ncn2C,628,Not active
CN(C)CCC=C1c2ccccc2CCc3ccccc13,629,3280
CCCNCC(O)COc1ccccc1C(=O)CCc2ccccc2,631,440
C[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,632,Not active
CCCCc1oc2ccccc2c1C(=O)c3cc(I)c(OCCN(CC)CC)c(I)c3,633,30
C[C@]12CC(=O)[C@H]3[C@@H](CCC4=CC(=O)C=C[C@]34C)[C@@H]1CC[C@]2(O)C(=O)CO,635,Not active
COc1ccc(cc1)C(CN(C)C)C2(O)CCCCC2,637,Not active
C[C@@H](c1ncncc1F)[C@](O)(Cn2cncn2)c3ccc(F)cc3F,638,>40000
CN1CCCC(CC1)N2N=C(Cc3ccc(Cl)cc3)c4ccccc4C2=O,639,100
CNCC[C@@H](Oc1ccccc1C)c2ccccc2,641,2100
CCCC(=O)Nc1ccc(OCC(O)CNC(C)C)c(c1)C(=O)C,642,Not active
CC(CN1c2ccccc2Sc3ccccc13)N(C)C,643,Not active
CN1CCN(CC1)C(c2ccccc2)c3ccccc3,648,Not active
CC(C)(C)NCC(O)COc1cccc2C[C@@H](O)[C@@H](O)Cc12,649,Not active
C[C@H]1C[C@H]2[C@@H]3CC[C@](O)(C(=O)CO)[C@@]3(C)C[C@H](O)[C@@H]2[C@@]4(C)C=CC(=O)C=C14,650,Not active
CCC(=O)C(CC(C)N(C)C)(c1ccccc1)c2ccccc2,651,9772.37
FC(F)(F)COc1ccc(OCC(F)(F)F)c(c1)C(=O)NCC2CCCCN2,652,3890.45
CN(C)CCOC(c1ccccc1)c2ccccc2,657,2570.4
COc1ccc2CN(C)CC[C@@]34C=C[C@H](O)C[C@@H]3Oc1c24,659,Not active
Cc1nnc2CN=C(c3ccccc3)c4cc(Cl)ccc4n12,661,Not active
CC(C)OC(=O)C(C)(C)Oc1ccc(cc1)C(=O)c2ccc(Cl)cc2,672,Not active
CC(C)(Oc1ccc(Cl)cc1)C(=O)O,683,Not active
COC(=O)Nc1nc2ccc(cc2[nH]1)C(=O)c3ccccc3,685,Not active
Cc1cccc(Nc2ccccc2C(=O)O)c1C,686,Not active
C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CC[C@@]2(O)C#C,691,Not active
CCCCNc1ccc(cc1)C(=O)OCCN(C)C,698,Not active
NCC(CC(=O)O)c1ccc(Cl)cc1,701,Not active
CCN1CCN(C(=O)N[C@@H](C(=O)N[C@H]2[C@H]3SC(C)(C)[C@@H](N3C2=O)C(=O)O)c4ccccc4)C(=O)C1=O,702,Not active
COc1cc2nc(nc(N)c2cc1OC)N3CCN(CC3)C(=O)C4COc5ccccc5O4,707,588.84
Clc1cc2NC(=O)Cc2cc1CCN3CCN(CC3)c4nsc5ccccc45,708,120.23
COc1cc2nc(nc(N)c2cc1OC)N(C)CCCNC(=O)C3CCCO3,709,12589.25
CC(C)(C)NC(=O)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4NC(=O)C=C[C@]4(C)[C@H]3CC[C@]12C,710,Not active
O=C1C(C(=O)c2ccccc12)c3ccccc3,711,Not active
COc1ccc(cc1)C2C(=O)c3ccccc3C2=O,712,Not active
CC(C)(C)NCC(O)c1ccc(O)c(CO)c1,714,Not active
CN1CCN(CC1)C2=Nc3ccccc3Nc4sc(C)cc24,715,181
OCCOCCN1CCN(CC1)C2=Nc3ccccc3Sc4ccccc24,716,5754.4
C[C@H]1C[C@@H]2[C@H](CC[C@@]3(C)[C@H]2CC[C@]3(OC(=O)C)C(=O)C)[C@@]4(C)CCC(=O)C=C14,717,Not active
COc1ccccc1OCCNCC(O)COc2cccc3[nH]c4ccccc4c23,723,350
OCCN1CCN(CCCN2c3ccccc3Sc4ccc(cc24)C(F)(F)F)CC1,726,4674.6
CN1CCN(CCCN2c3ccccc3Sc4ccc(Cl)cc24)CC1,728,1514.1
CC(C)[C@H](N1CCCNC1=O)C(=O)N[C@H](C[C@H](O)[C@H](Cc2ccccc2)NC(=O)COc3c(C)cccc3C)Cc4ccccc4,729,8511.38
CNC1(CCCCC1=O)c2ccccc2Cl,742,Not active
Nc1nc2ccc(OC(F)(F)F)cc2s1,744,Not active
C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@H]34)[C@@H]1CC[C@@H]2O,757,Not active
Cc1cc(c(O)c(C)c1CC2=NCCN2)C(C)(C)C,762,Not active
COC(=O)CCc1ccc(OCC(O)CNC(C)C)cc1,768,Not active
CN1CC(=O)N2[C@H](Cc3c([nH]c4ccccc34)[C@H]2c5ccc6OCOc6c5)C1=O,779,79432.82
CC(C)[C@@H]1CC[C@H](CC1)C(=O)N[C@H](Cc2ccccc2)C(=O)O,783,Not active
CC(C)(O)c1ccccc1CC[C@@H](SCC2(CC(=O)O)CC2)c3cccc(\C=C\c4ccc5ccc(Cl)cc5n4)c3,787,Not active
OC[C@H]1O[C@H](C[C@@H]1O)N2C=C(I)C(=O)NC2=O,788,Not active
O=C1CCc2cc(OCCCCc3nnnn3C4CCCCC4)ccc2N1,799,Not active
Nc1cc(nc(N)[n+]1[O-])N2CCCCC2,802,Not active
NC1=NC(=O)N(C=C1)[C@@H]2O[C@H](CO)[C@@H](O)[C@@H]2O,803,Not active
CC(C)C(=O)Nc1ccc(c(c1)C(F)(F)F)[N+](=O)[O-],806,Not active
Clc1ccc(COC(Cn2ccnc2)c3ccc(Cl)cc3Cl)cc1,808,Not active
CN[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c3ccccc13,809,6814.1
CN(C)CCC(c1ccc(Br)cc1)c2ccccn2,811,891.25
COCCCC\C(=N/OCCN)\c1ccc(cc1)C(F)(F)F,814,3100
Cc1ccc(cc1)S(=O)(=O)NC(=O)NN2CCCCCC2,817,Not active
CS(=O)(=O)OCCCCOS(=O)(=O)C,820,Not active
CN(C\C=C\C#CC(C)(C)C)Cc1cccc2ccccc12,822,Not active
CCN1C=C(C(=O)O)C(=O)c2cc(F)c(nc12)N3CCNCC3,826,Not active
[O-][S+](CCC1C(=O)N(N(C1=O)c2ccccc2)c3ccccc3)c4ccccc4,832,Not active
Clc1ccccc1CN2CCc3sccc3C2,833,Not active
CCOC(=O)[C@H](CCc1ccccc1)N[C@H]2CCc3ccccc3N(CC(=O)O)C2=O,838,Not active
CN(C)C(=O)C(CCN1CCC(O)(CC1)c2ccc(Cl)cc2)(c3ccccc3)c4ccccc4,841,Not active
Brc1c(NC2=NCCN2)ccc3nccnc13,844,Not active
Clc1ccc2Nc3ccccc3C(=Nc2c1)N4CCNCC4,845,4466.84
C[C@@H]1CN(C[C@H](C)N1)c2c(F)c(N)c3C(=O)C(=CN(C4CC4)c3c2F)C(=O)O,850,18197.01
N[C@@H](Cc1ccc(cc1)N(CCCl)CCCl)C(=O)O,852,Not active
CCC1(C(=O)NCNC1=O)c2ccccc2,856,Not active
NC(=N)NC(=O)Cc1c(Cl)cccc1Cl,862,Not active
Cc1onc(c2ccccc2)c1c3ccc(cc3)S(=O)(=O)N,865,Not active
COc1c(C)c2COC(=O)c2c(O)c1C\C=C(/C)\CCC(=O)O,866,Not active
NCCCC(O)(P(=O)(O)O)P(=O)(O)O,870,Not active
CC(O)(P(=O)(O)O)P(=O)(O)O,871,Not active
CC1Nc2cc(Cl)c(cc2C(=O)N1c3ccccc3C)S(=O)(=O)N,878,Not active
CC(=O)OCC(CCn1cnc2cnc(N)nc12)COC(=O)C,880,Not active
NC1=NC(=O)N(C=C1)[C@@H]2O[C@H](CO)[C@@H](O)C2(F)F,888,Not active
Cc1onc(c2ccccc2Cl)c1C(=O)N[C@H]3[C@H]4SC(C)(C)[C@@H](N4C3=O)C(=O)O,891,Not active
CC(NC(C)(C)C)C(=O)c1cccc(Cl)c1,894,Not active
O[C@H]1CC[C@@]2(O)[C@H]3Cc4ccc(O)c5O[C@@H]1[C@]2(CCN3CC6CCC6)c45,895,Not active
CCCN(CCC)S(=O)(=O)c1ccc(cc1)C(=O)O,897,Not active
OC(=O)c1cc(ccc1O)c2ccc(F)cc2F,898,Not active
CN(C)CCOC(c1ccccc1)c2ccccc2C,900,851.14
NC(=Nc1nc(CSCC\C(=N\S(=O)(=O)N)\N)cs1)N,902,Not active
CC(C)(C(=O)O)c1ccc(cc1)C(O)CCCN2CCC(CC2)C(O)(c3ccccc3)c4ccccc4,914,21379.62
OC[C@H]1O[C@H](C[C@@H]1O)N2C=C(F)C(=O)NC2=O,917,Not active
OC(Cc1cccnc1)(P(=O)(O)O)P(=O)(O)O,923,Not active
CC(CCc1ccc(O)cc1)NCCc2ccc(O)c(O)c2,926,Not active
OCCN(CCO)c1nc(N2CCCCC2)c3nc(nc(N4CCCCC4)c3n1)N(CCO)CCO,932,Not active
CC(C)(C(=O)c1cccnc1)c2cccnc2,934,Not active
OC(CCCN1CCCCC1)(c2ccccc2)c3ccccc3,936,Not active
CN1CCN(Cc2ccc(cc2)C(=O)Nc3ccc(C)c(Nc4nccc(n4)c5cccnc5)c3)CC1,941,Not active
CC(=O)Oc1ccc(cc1)C(c2ccc(OC(=O)C)cc2)c3ccccn3,942,Not active
NC(=N)NC(=O)c1nc(Cl)c(N)nc1N,945,Not active
CCN(CC)CCOc1ccc(cc1)\C(=C(\Cl)/c2ccccc2)\c3ccccc3,954,Not active
Cc1oncc1C(=O)Nc2ccc(cc2)C(F)(F)F,960,Not active
CCN(CC)C(=S)SSC(=S)N(CC)CC,964,Not active
O=C(C1CCCCC1)N2CC3N(CCc4ccccc34)C(=O)C2,976,Not active
[Cl-].[Cl-].C[N+](C)(C)CCOC(=O)CCC(=O)OCC[N+](C)(C)C,983,Not active
CC1(C)O[C@@H]2C[C@H]3[C@@H]4C[C@H](F)C5=CC(=O)C=C[C@]5(C)[C@@]4(F)[C@@H](O)C[C@]3(C)[C@@]2(O1)C(=O)CO,989,Not active
CN(Cc1ccc(cc1)C(C)(C)C)Cc2cccc3ccccc23,990,Not active
CC1=CN([C@@H]2O[C@H](CO)C=C2)C(=O)NC1=O,991,Not active
CCOC(=O)N1CCC(=C2c3ccc(Cl)cc3CCc4cccnc24)CC1,998,169.82
OC(=O)COCCN1CCN(CC1)C(c2ccccc2)c3ccc(Cl)cc3,1000,30199.52
NCCCNCCSP(=O)(O)O,1006,Not active
CC(C)COCC(CN(Cc1ccccc1)c2ccccc2)N3CCCC3,1008,22.91
CCOc1nc2cccc(C(=O)O)c2n1Cc3ccc(cc3)c4ccccc4c5nnn[nH]5,1016,Not active
Cc1ccc(cc1)C(=O)c2ccc(CC(=O)O)n2C,1020,Not active
ClCCNP1(=O)OCCCN1CCCl,1024,Not active
CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2\C(=C\C=C/3\C[C@@H](O)CCC3=C)\CCC[C@]12C,1042,Not active
